,sequence_id,source,subject_id,motion_name,mean_speed,max_speed,min_speed,std_speed,median_speed,mean_acceleration,max_acceleration,std_acceleration,mean_jerk,max_jerk,std_jerk,x_range,y_range,z_range,path_length,displacement,efficiency,stability_x,stability_y,stability_z,left_elbow_mean,left_elbow_max,left_elbow_min,left_elbow_rom,right_elbow_mean,right_elbow_max,right_elbow_min,right_elbow_rom,elbow_symmetry,left_shoulder_mean,left_shoulder_max,left_shoulder_min,left_shoulder_rom,right_shoulder_mean,right_shoulder_max,right_shoulder_min,right_shoulder_rom,shoulder_symmetry,shoulder_symmetry_mean,shoulder_symmetry_max,shoulder_symmetry_std,elbow_symmetry_mean,elbow_symmetry_max,elbow_symmetry_std,wrist_symmetry_mean,wrist_symmetry_max,wrist_symmetry_std,hip_symmetry_mean,hip_symmetry_max,hip_symmetry_std,knee_symmetry_mean,knee_symmetry_max,knee_symmetry_std,ankle_symmetry_mean,ankle_symmetry_max,ankle_symmetry_std,left_wrist_path_length,left_wrist_displacement,left_wrist_efficiency,right_wrist_path_length,right_wrist_displacement,right_wrist_efficiency,left_hand_path_length,left_hand_displacement,left_hand_efficiency,right_hand_path_length,right_hand_displacement,right_hand_efficiency,performance_outcome
count,778,778,778,778,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,626.0
unique,778,3,148,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,P100_Male_25_Exercise Type 1,kinect,H09,Exercise Type 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,626,12,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,0.2100849702217282,6.600765724061679,7.407255276719678e-06,0.7275750841701774,0.03325592768944646,0.3672202790052797,12.4880600332138,1.204149157210993,0.6768472075077728,21.74297440709933,2.1648868214649606,4.615445510959668,3.653124044225822,3.6978153480346525,1517.974837048404,2.1170408274506993,0.00028220488116363136,0.7044260787257415,0.14725335322970395,0.13496639724142076,122.78402551048842,165.11379285409384,27.4511298911088,137.66266296298505,124.38843918223058,165.2502391547786,28.61926356136447,136.63097559341412,11.083843838833147,107.98390964309088,153.04269172181586,41.60112717957957,111.44156454223626,109.07304887283978,151.1147652831991,44.978720606055845,106.13604467714322,8.580842972293464,1.1147308921704038,3.132280619918702,0.7816037843329041,1.1135606529925846,2.8065562088230673,0.4726031539378897,1.4058412245550924,4.532752931065323,0.8987305829552756,1.6585332073974763,2.580231268485362,0.4751957077380972,1.5701234701644275,3.0895748729760917,0.5545025928484778,1.9271751080592927,3.7297272202851826,0.7374209116036234,112.41023307760724,2.8279681183452268,0.012417241629466171,98.4973670812639,2.841812288894624,0.013643685539771336,96.4345445803021,2.917222505848196,0.01491196940762917,87.00663147895982,2.9481685363120147,0.017902333526360222,92.4185303514377
std,,,,,0.8807814491990302,52.09188794676047,2.1217492863932254e-05,4.1002756130145315,0.24264397137170576,1.362337371907362,101.41060107172783,6.674302633975177,2.4227539380817715,167.71101662111914,11.849637576274992,49.61558931876256,24.900452729703577,0.430230074871562,2997.78186486251,34.89854326184407,0.0007875921118297469,12.29826050792458,1.0829345941335273,0.05181165457804569,25.748212887110117,19.829759310773927,42.023128580676044,51.7985888154498,25.714660042380537,18.12255204950804,44.99221315080942,53.403676819341754,11.815032623102633,23.169142403782715,15.527860211696993,50.72710880449558,57.5666582469172,23.74676982511908,15.173708381628051,52.95003189031674,58.57793996613004,9.269288054251335,11.694326592319253,32.568218598577744,10.243037950023718,4.420370603949695,5.934432174801448,0.9241338996873293,8.189043921171564,33.45781438585358,6.709574266725523,26.09065009449241,37.73935594244919,11.077877946011789,21.31976743941992,35.1599760831496,8.540231065134547,23.062774597199933,35.27150957243182,7.92309415704912,360.9074058574913,40.87196861641426,0.03928963400135535,88.89620640326932,39.68590128269302,0.048085259549943485,285.142612812067,40.70489993811331,0.041130069564917826,86.45163179573657,38.92252855808937,0.054692459034149966,8.622607034805501
min,,,,,0.0187224666325583,0.7006759638459847,0.0,0.0414356950052828,0.0026725452105308,0.0281476859921771,0.7687112269732753,0.0656431493913776,0.0508617064737682,1.497386898966976,0.1165870360525416,0.4465976655483246,0.93471360206604,0.975137,168.50219969302503,0.006640119420287,7.274136528305201e-06,0.0054065016570072,0.0060345455938151,0.0214389555739657,39.88944904601352,50.49153328811253,0.0,2.415585967642756,31.82699928578722,101.63018105371216,0.0,5.18840570934853,0.0250973650364016,41.70580459009436,91.21505072669562,0.0,5.990839428410069,45.85319577461649,116.79746483928814,0.0,2.283685833874557,0.007999195610111,0.2207419018286652,0.2424318291972015,8.36899534996246e-17,0.3271764387851162,0.3547247450442523,0.0056761209260725,0.2486795865589654,0.3787873715159967,0.0124453413793546,0.086110504856209,0.1121284395680633,0.0029299044192661,0.126982108965734,0.1931273447113728,0.0013090950947456,0.0065143040900262,0.1809938488053215,0.0008595366880544,0.0,0.0,0.0,2.106134974444532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
25%,,,,,0.09712219450624751,3.267431775015989,0.0,0.3790702187295336,0.0137450371011007,0.16377500717327415,5.602054692721461,0.6390766757551067,0.30511651629378134,10.341571338593832,1.1545562432293697,0.8159400597214699,1.6363150253891945,3.5812500715255737,768.6862904517711,0.11706097285303235,9.340833979186715e-05,0.01568564387700545,0.03921788784190618,0.10145863191991668,103.16437139074134,164.5376376953676,0.0,92.70473548799657,104.41917304859469,162.2401160561812,0.0,85.86897882492791,3.162762781421538,92.63517227800274,142.23390862034216,0.0,46.68917768877388,95.79272275176845,138.64220897335133,0.0,41.15559260764759,2.5546896699261517,0.33265985703665557,1.0000000000000002,0.009326184615501151,0.5042571135746555,1.7909974346029551,0.13387402025731623,0.5349934046868214,2.4150963031316675,0.3553398397052266,0.12986782561483684,0.1583309879701711,0.0080038762779037,0.22827714237366414,0.26164948944008715,0.008467098603435575,0.2807869139681246,0.3218517877772476,0.009233810141614725,35.43791913181916,0.15289250194874032,0.0028435801341646,33.25196450885211,0.1469357011093266,0.0028730171142478753,33.03661530686814,0.1564120375412906,0.0032784968838928,30.18080110727516,0.15471682770936046,0.0032509797614354,85.0
50%,,,,,0.1518501484687336,3.701953782968372,0.0,0.5196331025987222,0.0177465988197112,0.26750511516064623,6.754051760955164,0.8753707832462145,0.4996792833130544,12.163272846082414,1.5812132314536238,1.5194213837385178,2.0240165293216705,3.74399995803833,1215.689499419247,0.22026753881660635,0.00016924603912255,0.0530015110255503,0.081717172456102,0.12710251356346045,127.1721743327017,173.43822206897522,0.0,169.91265504276916,130.83006323606168,172.75949412228465,0.0,169.57825456580917,7.083489785078626,110.59253010898246,154.2109914447948,4.424228019244371,139.60192791145266,111.91566181128549,151.27120520758479,4.753764232218119,133.99133158636232,5.563754675567729,0.5052040379964778,2.460913894264217,0.2563761732576916,0.6606352784766305,2.5130678619922744,0.3667505354567008,0.7973733783097723,3.288357824081145,0.5706659146908057,0.1450252565679058,0.1794998426677083,0.01474536623454165,0.2559095616711733,1.184156255504361,0.10092739585815315,0.3517041773568301,2.4275038378194917,0.28779370319357567,76.57969533421252,0.45762298217390496,0.0061058571102911,77.92512103735862,0.43297339350016073,0.0061452838756359,65.94962577120135,0.5320095687896409,0.008352331485051299,65.13003474374563,0.530847521814463,0.00918407251271355,99.0
75%,,,,,0.22167973033062505,3.864297534394228,0.0,0.6609102463165486,0.023959050463773997,0.41030100904097183,7.513439366620945,1.105935473890899,0.7628637437188794,14.055656739871432,1.9943379087739197,2.0228498429059982,2.189125821152377,3.848999977111816,1805.9438304913308,0.3598766168180345,0.000294492022246425,0.1314963261158506,0.13479976459193485,0.15687792600826084,144.37334078301075,177.87075905864214,54.9891997804854,177.04371389713015,144.8429648301079,177.735620202854,52.31083244201204,176.9636949741182,15.049268547936915,123.43179681606502,166.22244844247325,93.56910609566704,163.714646249221,125.55489490727456,163.69194343896731,101.53489261558428,158.5858508423036,11.595624974859287,1.0,2.646008792653135,0.8032988314520646,1.1735158578262446,3.199012174158988,0.6833470361975517,1.2306990099371549,3.7485911299959764,0.8895927246871341,0.1953425026516044,0.5225033166938557,0.03021498868253475,0.4788999158941969,2.4059914078496902,0.2550310938054389,0.9649060670940267,2.7541060859214292,0.6577968543494747,141.21151457140616,0.9137341478138351,0.01301372922310255,141.3308605114293,0.891438013148268,0.012696724140358974,128.04555182978203,1.0221323925733654,0.0158657449422704,129.5250214414525,1.0565734268792046,0.01796027201447815,99.0
max,,,,,20.756698166602277,928.97981660842,0.000205075122328,91.9440912384482,4.725560650654092,33.34544344050218,1824.7509688584444,150.925892473562,58.28935397203156,3375.0810050169493,267.4085163264278,910.994,474.815,7.329452443082689,69534.93885811762,696.7975531703133,0.0153100880523717,252.7020242100666,27.59387468798939,0.3663655983610929,174.09407178635487,179.9997695823257,148.7181847955232,179.9997695823257,171.8577526727836,179.9505172029676,158.5487152494888,179.9505172029676,77.62313086952966,157.00655920958025,179.54479064810923,144.56914679906214,179.14790158547626,170.98458993495885,179.70762041454478,145.3786382871712,179.70762041454478,84.84372467402306,325.0384655773047,908.2243243293708,285.6971037389938,75.87336468522182,119.6610376838101,23.97829318236637,196.24100339499856,920.2416488580708,185.28630830268503,542.0578114144027,884.6926468943404,308.92467334244617,558.5266823477938,936.4265846745162,233.1414345236372,580.4304307216521,904.9688343113236,212.00964421614148,9878.356258387805,856.0909751977645,0.9583427140521358,1100.6482273441811,790.1115419990656,0.9050870323378116,7775.758280489944,859.1024432606943,0.9313455952928,1389.3104929869264,766.605224291455,0.8961902453750665,100.0
